City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
456,Moindou,GB,66.97,overcast clouds,51.5407,-2.4184,The Moda House
468,Fort Nelson,CA,56.91,overcast clouds,51.226,-58.6502,
473,Huacho,PE,64.54,scattered clouds,-11.1067,-77.605,Hotel Restaurant Turístico Casablanca
477,Sambava,MG,49.32,overcast clouds,-19.65,47.3167,Ilempona
483,Kitimat,CA,56.91,overcast clouds,51.226,-58.6502,
485,Andenes,NO,51.75,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
490,Pouebo,GB,66.97,overcast clouds,51.5407,-2.4184,The Moda House
493,Bud,NO,51.75,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
497,Stavyshche,UA,59.77,light rain,49.5464,39.0899,"Sanatorno-Ozdorovchyy Kompleks ""Perlyna"""
499,Saldanha,ZA,56.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
501,Dauphin,CA,56.91,overcast clouds,51.226,-58.6502,
505,Norrkoping,SE,56.32,few clouds,67.8557,20.2251,Camp Ripan
522,Erenhot,CN,65.64,overcast clouds,22.7886,100.9748,Changyu Hotel
524,Rocha,UY,61.32,overcast clouds,-32.6833,-57.6333,Posada Gira el Sol
531,Yakeshi,CN,65.64,overcast clouds,22.7886,100.9748,Changyu Hotel
533,Vardo,NO,51.75,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
535,Bonavista,CA,56.91,overcast clouds,51.226,-58.6502,
542,Kuytun,CN,65.64,overcast clouds,22.7886,100.9748,Changyu Hotel
551,Camana,PE,64.54,scattered clouds,-11.1067,-77.605,Hotel Restaurant Turístico Casablanca
568,Ankang,CN,65.64,overcast clouds,22.7886,100.9748,Changyu Hotel
573,Puyang,CN,65.64,overcast clouds,22.7886,100.9748,Changyu Hotel
575,Uyuni,BO,49.8,scattered clouds,-20.4597,-66.825,Hostal La Magia de Uyuni
577,Halifax,CA,56.91,overcast clouds,51.226,-58.6502,
581,Margate,ZA,56.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
582,San Rafael,BO,49.8,scattered clouds,-20.4597,-66.825,Hostal La Magia de Uyuni
586,Hudiksvall,SE,56.32,few clouds,67.8557,20.2251,Camp Ripan
588,Zhangye,CN,65.64,overcast clouds,22.7886,100.9748,Changyu Hotel
590,Quebec,CA,56.91,overcast clouds,51.226,-58.6502,
600,Hailar,CN,65.64,overcast clouds,22.7886,100.9748,Changyu Hotel
609,Hovd,MN,54.66,clear sky,48.0056,91.6419,Hotel Khovd
616,Mananara,MG,49.32,overcast clouds,-19.65,47.3167,Ilempona
617,Vondrozo,MG,49.32,overcast clouds,-19.65,47.3167,Ilempona
618,Shenjiamen,CN,65.64,overcast clouds,22.7886,100.9748,Changyu Hotel
627,Beloha,MG,49.32,overcast clouds,-19.65,47.3167,Ilempona
628,Plettenberg Bay,ZA,56.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
633,Saint-Jerome,CA,56.91,overcast clouds,51.226,-58.6502,
634,Stephenville Crossing,CA,56.91,overcast clouds,51.226,-58.6502,
639,Kangaatsiaq,GL,50.36,few clouds,60.1432,-45.2371,Hotel Kap Farvel
646,Tatarbunary,UA,59.77,light rain,49.5464,39.0899,"Sanatorno-Ozdorovchyy Kompleks ""Perlyna"""
653,Dengzhou,CN,65.64,overcast clouds,22.7886,100.9748,Changyu Hotel
654,Honggang,CN,65.64,overcast clouds,22.7886,100.9748,Changyu Hotel
656,Huarmey,PE,64.54,scattered clouds,-11.1067,-77.605,Hotel Restaurant Turístico Casablanca
659,Florina,GR,66.79,clear sky,41.2667,26.3833,
